Product,Category,Cost per box
Milk Bars,Bars,5.26
50% Dark Bites,Bites,7.48
Almond Choco,Bars,5.15
Raspberry Choco,Bars,3.85
Mint Chip Choco,Bars,5.72
Eclairs,Bites,6.31
Drinking Coco,Other,9.94
99% Dark & Pure,Bars,7.73
Orange Choco,Bars,3.68
Spicy Special Slims,Bites,8.22
After Nines,Bites,10.23
Fruit & Nut Bars,Bars,4.74
85% Dark Bars,Bars,10.51
White Choc,Other,6.43
Baker's Choco Chips,Bars,12.41
Organic Choco Syrup,Other,9.57
Caramel Stuffed Bars,Bars,8.43
Manuka Honey Choco,Other,6.8
70% Dark Bites,Bites,5.04
Smooth Silky Salty,Bars,2.76
Choco Coated Almonds,Bites,3.32
Peanut Butter Cubes,Bites,2.65